balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,BRAP4,BRADESPAR,18724,2012-03-16 19:07:53,2011-12-31,349.548,582.935,2167.7,0.8536008663200192,11874.145559999999,12457.080559999999,0.17401348490596902,1
2012-04-09,VALE5,VALE,4170,2012-02-16 11:24:28,2011-12-31,5365.305,39166.496,53087.424,0.200284379274275,217616.77080000003,256783.26680000004,0.20674020025357817,2
2012-04-09,FHER3,FER HERINGER,20621,2012-03-14 08:59:20,2011-12-31,48.471,611.982,306.054,0.1860716299121206,640.30191,1252.28391,0.24439665602666727,3
2012-04-09,ODPV3,ODONTOPREV,20125,2012-03-01 18:33:38,2011-12-31,177.098264,-207.831,179.285,0.2129080142720652,1765.66969208,1557.83869208,0.11508572800988892,4
2012-04-09,ETER3,ETERNIT,5762,2012-03-12 17:47:08,2011-12-31,89.5,-20.477,117.301,0.1854876742720644,813.555,793.078,0.14790600672317225,5
2012-04-09,SHOW3,TIME FOR FUN,22454,2012-02-16 10:26:12,2011-12-31,69.29,-142.053,102.209,0.3442170685036356,1219.5040000000001,1077.451,0.09486185450660865,6
2012-04-09,AUTM3,AUTOMETAL,22381,2012-02-29 18:11:32,2011-12-31,125.908,-262.426,239.791,0.172254837189407,2051.04132,1788.6153199999999,0.13406516052876033,7
2012-04-09,RAPT4,RANDON PART,14109,2012-02-28 08:02:22,2011-12-31,243.785,379.538,459.779,0.1399240560961236,2698.69995,3078.23795,0.14936434657366238,8
2012-04-09,SLED4,SARAIVA LIVR,10472,2012-03-22 17:05:21,2011-12-31,28.596,274.127,139.592,0.1245398496016999,616.2438000000001,890.3708000000001,0.1567796248484339,9
2012-04-09,EZTC3,EZTEC,20770,2012-03-13 22:12:01,2011-12-31,146.72412,-241.35,288.502,0.1619128732639405,3248.4720168,3007.1220168,0.09593957225154656,10
2012-04-09,MYPK3,IOCHP-MAXION,11932,2012-02-27 19:36:53,2011-12-31,94.863,519.373,358.253,0.164440356661745,3534.5953799999997,4053.96838,0.08837094087053536,11
2012-04-09,NATU3,NATURA,19550,2012-02-15 19:19:16,2011-12-31,431.239,671.089,1315.07,0.4517414463076175,17236.62283,17907.71183,0.07343595946171756,12
2012-04-09,JHSF3,JHSF PART,20605,2012-03-26 20:43:22,2011-12-31,428.762581,427.913,268.872,0.1624931506849314,2559.71260857,2987.62560857,0.08999521199334382,13
2012-04-09,TGMA3,TEGMA,20800,2012-03-14 20:54:35,2011-12-31,66.003,222.532,178.253,0.1895636299184686,1969.52952,2192.06152,0.08131751703756926,14
2012-04-09,MRVE3,MRV,20915,2012-03-15 23:02:15,2011-12-31,482.71,1746.51,893.023,0.1134828029980961,6449.0055999999995,8195.515599999999,0.10896483437844962,15
2012-04-09,POMO4,MARCOPOLO,8451,2012-02-28 08:05:25,2011-12-31,448.450042,580.316,428.482,0.1634665544512562,4408.26391286,4988.57991286,0.08589258014999848,16
2012-04-09,BEEF3,MINERVA,20931,2012-03-22 10:30:36,2011-12-31,105.909718,1289.661,282.346,0.0893274282917578,801.73656526,2091.39756526,0.13500350420695792,17
2012-04-09,HBOR3,HELBOR,20877,2012-03-14 19:27:51,2011-12-31,65.097,539.662,236.683,0.1078315955144599,1830.5276399999998,2370.1896399999996,0.09985825438001662,18
2012-04-09,GRND3,GRENDENE,19615,2012-03-01 19:05:10,2011-12-31,300.72,-804.906,187.293,0.1243125135763534,2871.8760000000007,2066.9700000000007,0.09061234560733825,19
2012-04-09,IGTA3,IGUATEMI,20494,2012-03-08 18:55:18,2011-12-31,79.255489,362.407,209.293,1.458102918667863,3186.8632126899997,3549.27021269,0.0589678969078481,20
2012-04-09,LAME4,LOJAS AMERIC,8087,2012-03-06 20:23:09,2011-12-31,774.97171,2611.45,1140.573,0.1996823716841765,13414.760300099999,16026.2103001,0.07116922707502991,21
