cutoff_date,codneg,nomres,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2011-04-11,KLBN4,KLABIN S/A,2011-02-24 09:20:31,2010-12-31,917683296.0,2127770000.0,821389000.0,0.112792958021892,5983295089.92,3855525089.92,0.2130420580448209,29.0
2011-04-11,TCSA3,TECNISA,2011-03-24 00:17:25,2010-12-31,145383000.0,1009360000.0,213029000.0,0.0966230092926888,1686442800.0,677082800.0,0.3146276939836605,30.0
2012-04-09,VALE3,VALE,2012-06-28 12:06:54,2011-12-31,5365305000.0,39166496000.0,53087424000.0,0.2856360703774495,222660157500.0,183493661500.0,0.2893147565208949,1.0
2012-04-09,SLED4,SARAIVA LIVR,2012-03-22 17:05:21,2011-12-31,28596000.0,274127000.0,139592000.0,0.1885527343064076,616243800.0,342116800.0,0.40802439400812823,2.0
2012-04-09,BRAP4,BRADESPAR,2012-03-16 19:07:53,2011-12-31,349548000.0,582935000.0,2167700000.0,0.2341538638358069,11874145560.0,11291210560.0,0.19198118647076226,3.0
2012-04-09,ETER3,ETERNIT,2012-03-12 17:47:08,2011-12-31,89500000.0,-20477000.0,117301000.0,0.2808736941160695,813555000.0,834032000.0,0.14064328467013257,4.0
2012-04-09,RAPT4,RANDON PART,2012-02-28 08:02:22,2011-12-31,243785000.0,379538000.0,459779000.0,0.2051764115782258,2698699950.0,2319161950.0,0.19825221778927513,5.0
2012-04-09,LAME4,LOJAS AMERIC,2012-03-06 20:23:09,2011-12-31,774971710.0,2611450000.0,1140573000.0,0.302549048006328,13414760300.099998,10803310300.099998,0.10557625101164061,6.0
2012-04-09,MYPK3,IOCHP-MAXION,2012-02-27 19:36:53,2011-12-31,94863000.0,519373000.0,358253000.0,0.2491340361183955,3534595380.0,3015222380.0,0.1188147853956961,7.0
2012-04-09,BRPR3,BR PROPERT,2012-07-10 14:31:08,2011-12-31,180004000.0,1051012000.0,733074000.0,0.1545348664399119,4240894240.0,3189882240.0,0.22981224535737094,8.0
2012-04-09,NATU3,NATURA,2012-02-15 19:19:16,2011-12-31,431239000.0,671089000.0,1315070000.0,0.6844567368297235,17236622830.0,16565533830.0,0.07938591134433728,9.0
